スコア,医院名,医院長名,郵便番号,住所,基礎評価,来院患者数,子ども対応力,Web積極性,医院規模,ブログ活動,営業時間,ブログ更新日,電話番号,WebサイトURL,評価,レビュー件数,診療科目タグ,写真枚数,SNS連携,子ども対応力スコア,Google Maps URL
40,松尾歯科･おとなこども矯正歯科,,,日本、〒039-1536 青森県三戸郡五戸町愛宕後２６−１４,10,15,0,5,10,0,,,0178-62-7055,http://www.matsuo-dc.info/,4.7,149,"dentist,establishment,health,point_of_interest",10,,0,https://maps.google.com/?cid=
30,こまい歯科クリニック,,,日本、〒030-0813 青森県青森市松原２丁目７−９,10,5,0,5,10,0,,,017-773-3510,http://www.komai-dental.com/,4.2,25,"dentist,establishment,health,point_of_interest",10,,0,https://maps.google.com/?cid=
10,なみおか歯科矯正･こども歯科,,,日本、〒038-1311 青森県青森市浪岡大字浪岡稲村１５７−２０,10,0,0,0,0,0,,,0172-62-8618,,4,6,"dentist,establishment,health,point_of_interest",0,,0,https://maps.google.com/?cid=
